# Training Configuration
Parameter	Value
model	LM_LSTM
optimizer	AdamW
learning_rate	1e-05
embedding_size	300
hidden_size	200
clip	5
dropout_embedding	Dropout(p=0.1, inplace=False)
dropout_output	Dropout(p=0.1, inplace=False)
patience	3
epochs_ran	99
best_ppl	377.6262233490476

# Training Results Per Epoch
Epoch	Training Loss	Validation Loss	Validation Perplexity
1	9.152163	8.898213	7318.882
2	7.929905	7.253675	1413.289
3	7.003767	6.819590	915.609
4	6.770335	6.717913	827.090
5	6.710302	6.683357	798.997
6	6.682760	6.661968	782.089
7	6.663453	6.645694	769.464
8	6.647593	6.632539	759.408
9	6.634593	6.621507	751.076
10	6.623265	6.611026	743.245
11	6.612328	6.601196	735.975
12	6.602334	6.592319	729.470
13	6.593097	6.583599	723.137
14	6.583946	6.575018	716.959
15	6.575274	6.566284	710.724
16	6.566047	6.557517	704.521
17	6.556647	6.548453	698.163
18	6.547239	6.538630	691.339
19	6.537152	6.528209	684.172
20	6.526715	6.517641	676.980
21	6.515922	6.506765	669.657
22	6.504830	6.495332	662.044
23	6.493234	6.483744	654.417
24	6.481326	6.471666	646.560
25	6.469185	6.459559	638.779
26	6.456954	6.447330	631.015
27	6.444534	6.434884	623.210
28	6.432056	6.422602	615.603
29	6.419864	6.410404	608.139
30	6.407761	6.398440	600.907
31	6.395766	6.386765	593.932
32	6.384073	6.375241	587.127
33	6.372732	6.364128	580.638
34	6.361580	6.353136	574.291
35	6.350714	6.342286	568.093
36	6.340031	6.331938	562.245
37	6.329510	6.321702	556.519
38	6.319216	6.311854	551.065
39	6.309253	6.301935	545.627
40	6.299383	6.292420	540.460
41	6.289617	6.283164	535.480
42	6.280367	6.274040	530.617
43	6.271169	6.265159	525.925
44	6.261885	6.256504	521.393
45	6.253045	6.247959	516.957
46	6.244709	6.239665	512.687
47	6.236072	6.231500	508.518
48	6.227764	6.223306	504.368
49	6.219739	6.215457	500.425
50	6.211455	6.207755	496.585
51	6.203777	6.200097	492.797
52	6.195925	6.192859	489.243
53	6.188051	6.185249	485.534
54	6.180729	6.178294	482.169
55	6.173295	6.171048	478.688
56	6.166004	6.164146	475.395
57	6.158755	6.157433	472.215
58	6.151594	6.150759	469.073
59	6.144673	6.144100	465.960
60	6.138075	6.137456	462.874
61	6.131006	6.131166	459.972
62	6.124283	6.124792	457.050
63	6.117797	6.118410	454.142
64	6.111516	6.112368	451.406
65	6.105167	6.106407	448.724
66	6.098938	6.100543	446.100
67	6.092451	6.094770	443.532
68	6.086442	6.088657	440.829
69	6.080213	6.082708	438.214
70	6.073678	6.077025	435.731
71	6.068030	6.071347	433.264
72	6.062134	6.065747	430.845
73	6.056561	6.060217	428.469
74	6.050910	6.054766	426.139
75	6.044759	6.049287	423.811
76	6.039410	6.043854	421.515
77	6.033371	6.038663	419.332
78	6.028371	6.033422	417.140
79	6.022459	6.028196	414.966
80	6.017368	6.023144	412.875
81	6.011991	6.017902	410.716
82	6.006444	6.013080	408.740
83	6.001169	6.008263	406.776
84	5.996099	6.003132	404.694
85	5.990753	5.998240	402.719
86	5.985661	5.993371	400.763
87	5.980587	5.988472	398.805
88	5.975215	5.983755	396.928
89	5.970256	5.979025	395.055
90	5.964988	5.974323	393.202
91	5.960482	5.969740	391.404
92	5.955695	5.965292	389.667
93	5.950791	5.960572	387.832
94	5.945958	5.956211	386.144
95	5.941230	5.951729	384.418
96	5.936700	5.946998	382.603
97	5.931574	5.942767	380.988
98	5.927042	5.938297	379.288
99	5.922200	5.933905	377.626

# Final Evaluation Metrics
Final Epoch Validation Perplexity	377.626
Best Validation Perplexity	377.626
Test Perplexity	354.239
