# Training Configuration
Parameter	Value
model	LM_LSTM
optimizer	AdamW
learning_rate	0.001
embedding_size	300
hidden_size	200
clip	5
dropout_embedding	Dropout(p=0.1, inplace=False)
dropout_output	Dropout(p=0.1, inplace=False)
patience	3
epochs_ran	15
best_ppl	134.08297300373343

# Training Results Per Epoch
Epoch	Training Loss	Validation Loss	Validation Perplexity
1	6.219732	5.690430	296.021
2	5.498305	5.386812	218.506
3	5.221868	5.226457	186.132
4	5.040561	5.123624	167.943
5	4.904991	5.056459	157.033
6	4.796216	5.007260	149.495
7	4.705669	4.971494	144.242
8	4.627836	4.947842	140.871
9	4.557359	4.928785	138.211
10	4.497031	4.918271	136.766
11	4.440624	4.910961	135.770
12	4.388335	4.898459	134.083
13	4.341192	4.898949	134.149
14	4.295993	4.899254	134.190
15	4.254631	4.899130	134.173

# Final Evaluation Metrics
Final Epoch Validation Perplexity	134.173
Best Validation Perplexity	134.083
Test Perplexity	124.917
