# Training Configuration
Parameter	Value
name	LSTM_SGD_dropout_False_lr_2.0_emb_300_hid_200_batch_64
dropout	False
optimizer	SGD
lr	2.0
hid_size	200
emb_size	300
batch_size	64

Epoch	Train Loss	Dev Loss	Dev Perplexity
1	6.1583	5.7145	303.22
2	5.5524	5.4527	233.39
3	5.3236	5.3259	205.59
4	5.1711	5.2378	188.26
5	5.0539	5.1744	176.69
6	4.9590	5.1314	169.25
7	4.8788	5.0909	162.53
8	4.8092	5.0658	158.50
9	4.7474	5.0452	155.28
10	4.6912	5.0373	154.05
11	4.6398	5.0236	151.96
12	4.5931	5.0053	149.21
13	4.5485	5.0029	148.85
14	4.5078	4.9907	147.05
15	4.4687	4.9969	147.95
16	4.4318	4.9912	147.11
17	4.3962	4.9906	147.02
18	4.3628	4.9915	147.16
19	4.3309	4.9888	146.76
20	4.2998	4.9837	146.01
21	4.2702	4.9943	147.56
22	4.2419	4.9906	147.02
23	4.2140	4.9951	147.69

# Final Evaluation Metrics
Final Epoch Validation Perplexity	147.686
Best Validation Perplexity	146.012
Test Perplexity	140.853
