# Training Configuration
Parameter	Value
name	LSTM_SGD_dropout_True_lr_2.0_emb_400_hid_300_batch_64
dropout	True
optimizer	SGD
lr	2.0
hid_size	300
emb_size	400
batch_size	64

Epoch	Train Loss	Dev Loss	Dev Perplexity
1	6.2590	5.7934	328.14
2	5.7272	5.5442	255.74
3	5.5449	5.4230	226.55
4	5.4289	5.3433	209.20
5	5.3430	5.2738	195.16
6	5.2736	5.2150	184.00
7	5.2178	5.1805	177.78
8	5.1697	5.1472	171.94
9	5.1279	5.1167	166.79
10	5.0912	5.0961	163.38
11	5.0576	5.0703	159.22
12	5.0272	5.0555	156.88
13	5.0008	5.0377	154.11
14	4.9745	5.0243	152.07
15	4.9525	5.0091	149.77
16	4.9300	5.0010	148.56
17	4.9099	4.9891	146.80
18	4.8906	4.9763	144.93
19	4.8725	4.9707	144.12
20	4.8561	4.9590	142.45
21	4.8382	4.9490	141.03
22	4.8237	4.9426	140.14
23	4.8078	4.9387	139.58
24	4.7940	4.9364	139.27
25	4.7798	4.9258	137.80
26	4.7672	4.9196	136.95
27	4.7553	4.9165	136.52
28	4.7437	4.9148	136.29
29	4.7311	4.9089	135.50
30	4.7195	4.9008	134.39
31	4.7082	4.8985	134.08
32	4.6969	4.8930	133.35
33	4.6873	4.8931	133.37
34	4.6796	4.8852	132.32
35	4.6681	4.8869	132.54
36	4.6589	4.8818	131.87
37	4.6498	4.8746	130.92
38	4.6399	4.8768	131.21
39	4.6321	4.8709	130.44
40	4.6219	4.8703	130.36
41	4.6162	4.8676	130.01
42	4.6079	4.8634	129.47
43	4.5992	4.8618	129.26
44	4.5916	4.8575	128.71
45	4.5847	4.8565	128.57
46	4.5772	4.8535	128.18
47	4.5701	4.8649	129.66
48	4.5627	4.8533	128.16
49	4.5557	4.8463	127.27
50	4.5466	4.8471	127.37
51	4.5432	4.8474	127.41
52	4.5343	4.8470	127.35

# Final Evaluation Metrics
Final Epoch Validation Perplexity	127.355
Best Validation Perplexity	127.266
Test Perplexity	122.554
