# Training Configuration
Parameter	Value
model	LM_LSTM
optimizer	SGD
learning_rate	1.0
embedding_size	300
hidden_size	200
clip	5
dropout_embedding	Dropout(p=0.1, inplace=False)
dropout_output	Dropout(p=0.1, inplace=False)
patience	3
epochs_ran	57
best_ppl	131.14578181053696

Epoch	Training Loss	Validation Loss	Validation Perplexity
1	6.492596	5.969295	391.230
2	5.883648	5.711030	302.182
3	5.679414	5.612510	273.831
4	5.545344	5.479027	239.613
5	5.447207	5.400322	221.478
6	5.369746	5.351812	210.990
7	5.305746	5.306020	201.546
8	5.250245	5.269479	194.315
9	5.202193	5.224850	185.833
10	5.159878	5.210770	183.235
11	5.121235	5.172237	176.309
12	5.085490	5.159021	173.994
13	5.054094	5.128534	168.770
14	5.024226	5.114203	166.368
15	4.997571	5.099388	163.922
16	4.971558	5.083546	161.345
17	4.947340	5.067826	158.829
18	4.925081	5.053988	156.646
19	4.903071	5.046645	155.500
20	4.883037	5.028425	152.692
21	4.864184	5.025477	152.243
22	4.846017	5.018290	151.153
23	4.827825	5.006736	149.416
24	4.812147	4.998122	148.135
25	4.794971	4.987224	146.529
26	4.780335	4.981194	145.648
27	4.764442	4.978483	145.254
28	4.750262	4.967948	143.732
29	4.734767	4.961103	142.751
30	4.723303	4.954757	141.848
31	4.709129	4.956011	142.026
32	4.697286	4.947508	140.824
33	4.685812	4.944539	140.406
34	4.673099	4.935245	139.107
35	4.661873	4.932305	138.699
36	4.650599	4.927761	138.070
37	4.640059	4.923550	137.490
38	4.629667	4.920886	137.124
39	4.618948	4.919091	136.878
40	4.607573	4.915319	136.363
41	4.599258	4.911896	135.897
42	4.588823	4.910396	135.693
43	4.580299	4.903725	134.791
44	4.569771	4.904760	134.931
45	4.561039	4.898138	134.040
46	4.553851	4.895431	133.678
47	4.544216	4.895289	133.659
48	4.536269	4.891190	133.112
49	4.528178	4.889535	132.892
50	4.520661	4.894801	133.593
51	4.511004	4.884353	132.205
52	4.503451	4.882667	131.982
53	4.496496	4.879585	131.576
54	4.488849	4.876310	131.146
55	4.480456	4.877447	131.295
56	4.474356	4.880194	131.656
57	4.466697	4.877412	131.290
