# Training Configuration
Parameter	Value
model	LM_LSTM
optimizer	SGD
learning_rate	1.0
embedding_size	300
hidden_size	200
clip	5
dropout_embedding	N/A
dropout_output	N/A
patience	3
epochs_ran	25
best_ppl	152.12952378189098

Epoch	Training Loss	Validation Loss	Validation Perplexity
1	6.466426	5.969768	391.415
2	5.827749	5.686935	294.988
3	5.596387	5.588787	267.411
4	5.445162	5.443112	231.161
5	5.330516	5.393935	220.068
6	5.238997	5.313953	203.152
7	5.162608	5.303506	201.040
8	5.095637	5.227062	186.245
9	5.036711	5.197145	180.756
10	4.983540	5.180766	177.819
11	4.935608	5.145074	171.584
12	4.891852	5.143751	171.357
13	4.851119	5.115159	166.527
14	4.812876	5.092601	162.813
15	4.777526	5.086010	161.743
16	4.743834	5.077413	160.359
17	4.712294	5.100176	164.051
18	4.682418	5.053213	156.525
19	4.652690	5.049398	155.929
20	4.625189	5.042483	154.854
21	4.599138	5.036955	154.000
22	4.573573	5.024732	152.130
23	4.548627	5.027753	152.590
24	4.525091	5.027189	152.504
25	4.501803	5.025973	152.318
