# Training Configuration
Parameter	Value
model	LM_LSTM
optimizer	SGD
learning_rate	1
embedding_size	300
hidden_size	300
clip	5
dropout_embedding	N/A
dropout_output	N/A
patience	3
epochs_ran	27
best_ppl	121.33997097604319

# Training Results Per Epoch
Epoch	Training Loss	Validation Loss	Validation Perplexity
1	6.564443	6.220125	502.766
2	5.968582	5.771568	321.041
3	5.663774	5.559734	259.754
4	5.463493	5.443657	231.287
5	5.319494	5.326840	205.787
6	5.205992	5.232908	187.337
7	5.110862	5.167157	175.415
8	5.027539	5.122260	167.714
9	4.953173	5.065367	158.439
10	4.885267	5.033900	153.531
11	4.823214	4.988561	146.725
12	4.764839	4.967894	143.724
13	4.710096	4.936151	139.233
14	4.658616	4.908215	135.398
15	4.609630	4.886829	132.533
16	4.562614	4.870199	130.347
17	4.517968	4.854188	128.277
18	4.474794	4.840501	126.533
19	4.433667	4.836790	126.064
20	4.394007	4.817629	123.672
21	4.355517	4.807371	122.409
22	4.318241	4.814060	123.231
23	4.282323	4.806258	122.273
24	4.246587	4.798596	121.340
25	4.213008	4.802033	121.758
26	4.179826	4.799908	121.499
27	4.147075	4.804944	122.113

# Final Evaluation Metrics
Final Epoch Validation Perplexity	122.113
Best Validation Perplexity	121.340
Test Perplexity	118.438
