# Training Configuration
Parameter	Value
model	LM_LSTM
optimizer	SGD
learning_rate	1
embedding_size	300
hidden_size	300
clip	5
dropout_embedding	N/A
dropout_output	N/A
patience	3
epochs_ran	39
best_ppl	109.94974195573936

# Training Results Per Epoch
Epoch	Training Loss	Validation Loss	Validation Perplexity
1	6.576316	6.197571	491.554
2	5.979282	5.785715	325.615
3	5.690096	5.553938	258.252
4	5.503261	5.422477	226.439
5	5.365585	5.320287	204.443
6	5.258317	5.236280	187.970
7	5.169134	5.197922	180.896
8	5.091072	5.120316	167.388
9	5.022251	5.073536	159.738
10	4.961753	5.028570	152.715
11	4.904325	4.989479	146.860
12	4.853455	4.955480	141.951
13	4.804300	4.930422	138.438
14	4.759174	4.898717	134.118
15	4.716715	4.884354	132.205
16	4.676157	4.855289	128.418
17	4.638276	4.833659	125.670
18	4.601558	4.819097	123.853
19	4.567097	4.808972	122.606
20	4.534070	4.786634	119.897
21	4.501475	4.777369	118.791
22	4.471468	4.768517	117.744
23	4.441073	4.754088	116.058
24	4.412654	4.748625	115.425
25	4.385902	4.736468	114.031
26	4.359750	4.730383	113.339
27	4.334205	4.727005	112.957
28	4.309217	4.726107	112.855
29	4.286060	4.717783	111.920
30	4.262562	4.713006	111.387
31	4.240623	4.707001	110.720
32	4.217384	4.710565	111.115
33	4.196812	4.711098	111.174
34	4.175491	4.705499	110.553
35	4.154788	4.704171	110.407
36	4.135289	4.700023	109.950
37	4.115703	4.704697	110.465
38	4.096251	4.700926	110.049
39	4.077824	4.700498	110.002

# Final Evaluation Metrics
Final Epoch Validation Perplexity	110.002
Best Validation Perplexity	109.950
Test Perplexity	107.915
