# Training Configuration
Parameter	Value
model	LM_LSTM
optimizer	SGD
learning_rate	1
embedding_size	300
hidden_size	300
clip	5
dropout_embedding	N/A
dropout_output	N/A
patience	3
epochs_ran	36
best_ppl	110.8663268124918

# Training Results Per Epoch
Epoch	Training Loss	Validation Loss	Validation Perplexity
1	6.574314	6.158208	472.581
2	5.982686	5.772031	321.189
3	5.693828	5.567078	261.668
4	5.505042	5.420132	225.909
5	5.369310	5.334278	207.323
6	5.260744	5.239262	188.531
7	5.170774	5.182372	178.105
8	5.093510	5.121212	167.538
9	5.024516	5.070316	159.225
10	4.962159	5.026522	152.402
11	4.906022	4.979829	145.449
12	4.853879	4.958016	142.311
13	4.804076	4.923691	137.509
14	4.759154	4.894841	133.599
15	4.715513	4.871020	130.454
16	4.674678	4.853491	128.187
17	4.636338	4.841170	126.617
18	4.599346	4.820486	124.025
19	4.564347	4.806362	122.286
20	4.531493	4.793752	120.754
21	4.499250	4.776701	118.712
22	4.467892	4.767566	117.633
23	4.437779	4.756520	116.340
24	4.409619	4.752836	115.913
25	4.382565	4.737495	114.148
26	4.355181	4.734806	113.841
27	4.330233	4.727172	112.976
28	4.305650	4.718563	112.007
29	4.281030	4.717461	111.884
30	4.257294	4.715308	111.643
31	4.234527	4.713111	111.398
32	4.212509	4.713523	111.444
33	4.191036	4.708325	110.866
34	4.169689	4.718365	111.985
35	4.149505	4.711393	111.207
36	4.129723	4.712813	111.365

# Final Evaluation Metrics
Final Epoch Validation Perplexity	111.365
Best Validation Perplexity	110.866
Test Perplexity	106.297
