# Training Configuration
Parameter	Value
name	LSTM_WT_VD_NTAvSGD
use_vdropout	True
use_ntasgd	True
lr	1.5
emb_size	300
hid_size	300
batch_size	32
dropout_rate	0.2

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.4572	5.9810	395.84
2	5.8185	5.5925	268.41
3	5.5372	5.4117	224.02
4	5.3608	5.2869	197.73
5	5.2298	5.1988	181.05
6	5.1263	5.0936	162.98
7	5.0368	5.0422	154.81
8	4.9602	4.9768	145.01
9	4.8934	4.9416	139.99
10	4.8324	4.9019	134.54
11	4.7760	4.8622	129.31
12	4.7268	4.8315	125.40
13	4.6794	4.8186	123.80
14	4.6356	4.7887	120.14
15	4.5946	4.7818	119.32
16	4.5567	4.7628	117.07
17	4.5211	4.7453	115.04
18	4.4869	4.7291	113.19
19	4.4562	4.7112	111.18
20	4.4245	4.7142	111.52
21	4.3959	4.6923	109.11
22	4.3688	4.6894	108.78
23	4.3431	4.6815	107.94
24	4.3176	4.6790	107.66
25	4.2941	4.6745	107.18
26	4.2705	4.6695	106.64
27	4.2487	4.6694	106.63
28	4.2277	4.6665	106.33
29	4.2061	4.6642	106.08
30	4.1867	4.6507	104.66
31	4.1678	4.6563	105.25
32	4.1489	4.6510	104.69
33	4.1313	4.6519	104.78
34	4.1141	4.6556	105.17
35	4.0961	4.6477	104.35
36	4.0814	4.6536	104.97
37	4.0652	4.6534	104.94
38	4.0499	4.6517	104.76
39	4.0340	4.6583	105.45
40	4.0196	4.6526	104.86
41	4.0069	4.6558	105.19
42	3.9918	4.6529	104.88
43	3.9794	4.6665	106.32
44	3.9652	4.6631	105.96
45	3.9541	4.6699	106.69
46	3.9403	4.6625	105.90
47	3.9292	4.6687	106.55
48	3.9175	4.6649	106.15
49	3.9060	4.6715	106.86
50	3.8950	4.6703	106.73
51	3.8845	4.6665	106.32
52	3.8750	4.6693	106.63
53	3.8644	4.6704	106.75
54	3.8535	4.6761	107.35
55	3.8444	4.6809	107.87
56	3.8352	4.6788	107.64
57	3.8245	4.6855	108.37
58	3.8165	4.6862	108.44
59	3.8073	4.6919	109.06
60	3.7987	4.6866	108.48
61	3.7906	4.6940	109.29
62	3.7820	4.6909	108.95
63	3.7749	4.6984	109.77
64	3.7655	4.6989	109.82
65	3.7587	4.7061	110.62
66	3.7506	4.7032	110.30
67	3.7425	4.7044	110.44
68	3.7364	4.7071	110.73
69	3.7304	4.7198	112.14
70	3.7216	4.7157	111.68
71	3.7151	4.7184	111.99
72	3.7073	4.7161	111.73
73	3.7020	4.7188	112.04
74	3.6959	4.7240	112.62
75	3.6905	4.7194	112.10
76	3.6842	4.7268	112.93
77	3.6782	4.7353	113.89
78	3.6718	4.7357	113.95
79	3.6666	4.7371	114.10
80	3.6601	4.7319	113.51
81	3.6538	4.7388	114.30
82	3.6486	4.7384	114.25
83	3.6448	4.7415	114.61
84	3.6390	4.7437	114.86
85	3.6336	4.7452	115.03
86	3.6290	4.7426	114.73
87	3.6232	4.7449	114.99
88	3.6179	4.7542	116.07
89	3.6131	4.7545	116.10
90	3.6098	4.7559	116.27
91	3.6061	4.7614	116.91
92	3.5992	4.7646	117.29
93	3.5961	4.7611	116.87
94	3.5921	4.7577	116.47
95	3.5876	4.7647	117.30
96	3.5839	4.7702	117.94
97	3.5778	4.7789	118.98
98	3.5748	4.7758	118.61
99	3.5684	4.7751	118.53
100	3.5688	4.7860	119.82

# Final Evaluation Metrics
Final Epoch Validation PPL	119.816
Best Validation PPL	104.347
Test PPL	99.996
