# Training Configuration
Parameter	Value
name	LSTM_WT_VD
use_vdropout	True
use_ntasgd	False
lr	1.0
emb_size	300
hid_size	300
batch_size	32
dropout_rate	0.2

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.5808	6.1660	476.28
2	5.9988	5.7847	325.28
3	5.7231	5.5727	263.14
4	5.5461	5.4671	236.77
5	5.4190	5.3470	209.97
6	5.3159	5.2606	192.59
7	5.2302	5.1946	180.29
8	5.1558	5.1400	170.71
9	5.0913	5.0901	162.41
10	5.0321	5.0524	156.39
11	4.9786	5.0101	149.92
12	4.9289	4.9821	145.78
13	4.8828	4.9463	140.66
14	4.8396	4.9134	136.11
15	4.8003	4.9005	134.36
16	4.7633	4.8751	130.98
17	4.7282	4.8518	127.97
18	4.6954	4.8339	125.70
19	4.6630	4.8128	123.07
20	4.6346	4.8056	122.19
21	4.6072	4.7850	119.70
22	4.5786	4.7876	120.02
23	4.5533	4.7583	116.55
24	4.5312	4.7529	115.92
25	4.5058	4.7450	115.01
26	4.4820	4.7385	114.27
27	4.4603	4.7293	113.22
28	4.4390	4.7176	111.90
29	4.4193	4.7099	111.04
30	4.3975	4.7079	110.82
31	4.3791	4.7031	110.29
32	4.3598	4.6992	109.86
33	4.3426	4.6882	108.65
34	4.3250	4.6862	108.44
35	4.3074	4.6889	108.73
36	4.2912	4.6819	107.97
37	4.2754	4.6731	107.03
38	4.2596	4.6710	106.80
39	4.2455	4.6739	107.12
40	4.2304	4.6744	107.17
41	4.2158	4.6709	106.80
42	4.2020	4.6711	106.81
43	4.1878	4.6715	106.86
44	4.1739	4.6694	106.63
45	4.1619	4.6656	106.23
46	4.1474	4.6618	105.83
47	4.1358	4.6643	106.09
48	4.1232	4.6629	105.94
49	4.1118	4.6628	105.93
50	4.0996	4.6636	106.02
51	4.0896	4.6566	105.28
52	4.0760	4.6559	105.20
53	4.0643	4.6648	106.15
54	4.0549	4.6613	105.78
55	4.0451	4.6630	105.96
56	4.0345	4.6613	105.78
57	4.0242	4.6650	106.16

# Final Evaluation Metrics
Final Epoch Validation PPL	106.164
Best Validation PPL	105.199
Test PPL	102.213
