# Training Configuration
Parameter	Value
name	LSTM_WT_only
use_vdropout	False
use_ntasgd	False
lr	1.0
emb_size	300
hid_size	300
batch_size	32
dropout_rate	0.0

Epoch	Train Loss	Dev Loss	Dev PPL
1	6.5732	6.2040	494.70
2	5.9713	5.7705	320.70
3	5.6617	5.5648	261.07
4	5.4617	5.4250	227.02
5	5.3169	5.3126	202.87
6	5.2039	5.2331	187.37
7	5.1085	5.1738	176.58
8	5.0269	5.1220	167.68
9	4.9535	5.0718	159.45
10	4.8870	5.0352	153.73
11	4.8253	4.9975	148.04
12	4.7685	4.9657	143.40
13	4.7146	4.9385	139.56
14	4.6631	4.9203	137.04
15	4.6140	4.8982	134.05
16	4.5684	4.8789	131.48
17	4.5243	4.8658	129.78
18	4.4817	4.8419	126.71
19	4.4409	4.8349	125.83
20	4.4013	4.8255	124.64
21	4.3630	4.8255	124.64
22	4.3256	4.8116	122.92
23	4.2901	4.8132	123.12
24	4.2546	4.8167	123.56
25	4.2206	4.8082	122.52
26	4.1873	4.8054	122.17
27	4.1545	4.8151	123.36
28	4.1218	4.8171	123.61
29	4.0906	4.8172	123.62
30	4.0591	4.8279	124.95
31	4.0291	4.8299	125.19

# Final Evaluation Metrics
Final Epoch Validation PPL	125.193
Best Validation PPL	122.168
Test PPL	118.947
