# Training Configuration
Parameter	Value
name	run_1
hid_size	200
emb_size	300
lr	0.0001
clip	5
dropout	0.0
bidirectional	False

Epoch	Train Loss	Val Loss	Intent Accuracy	Slot F1
5	3.3929	3.3449	0.7369	0.0070
10	2.5073	2.4729	0.7530	0.1234
15	1.8010	1.8056	0.8635	0.5336
20	1.3764	1.3984	0.8916	0.6345
25	1.1002	1.1478	0.8996	0.6902
30	0.8991	0.9618	0.9217	0.7343
35	0.7426	0.8220	0.9337	0.7658
40	0.6201	0.7089	0.9378	0.7977
45	0.5259	0.6246	0.9478	0.8160
50	0.4505	0.5548	0.9518	0.8304
55	0.3896	0.4995	0.9558	0.8433
60	0.3414	0.4527	0.9659	0.8521
65	0.2970	0.4186	0.9659	0.8628
70	0.2613	0.3881	0.9679	0.8738
75	0.2319	0.3616	0.9699	0.8808
80	0.2037	0.3369	0.9719	0.8872
85	0.1800	0.3167	0.9759	0.8989
90	0.1591	0.2966	0.9759	0.9064
95	0.1402	0.2796	0.9759	0.9189
100	0.1236	0.2654	0.9759	0.9333
105	0.1092	0.2529	0.9779	0.9404
110	0.1114	0.2551	0.9699	0.9386
115	0.0922	0.2301	0.9779	0.9460
120	0.0801	0.2232	0.9779	0.9469
125	0.0726	0.2184	0.9799	0.9484
130	0.0659	0.2141	0.9819	0.9528
135	0.0599	0.2107	0.9819	0.9540
140	0.0545	0.2078	0.9819	0.9549
145	0.0495	0.2050	0.9819	0.9543
150	0.0450	0.2032	0.9819	0.9567
155	0.0408	0.2008	0.9819	0.9587
160	0.0370	0.1991	0.9819	0.9590
165	0.0336	0.1975	0.9819	0.9605
170	0.0305	0.1972	0.9819	0.9602
175	0.0277	0.1963	0.9799	0.9617
180	0.0250	0.1956	0.9799	0.9619
185	0.0227	0.1949	0.9799	0.9617
190	0.0206	0.1951	0.9779	0.9649
195	0.0187	0.1929	0.9799	0.9646

# Final Evaluation Metrics
Final Intent Accuracy	0.9395
Final Slot F1	0.9156
Intent Precision	0.9209
Intent Recall	0.9395
Intent F1	0.9266
