# Training Configuration
Parameter	Value
name	run_3
hid_size	200
emb_size	300
lr	0.0001
clip	5
dropout	0.3
bidirectional	True

Epoch	Train Loss	Val Loss	Intent Accuracy	Slot F1
5	2.5896	2.5384	0.7390	0.1660
10	1.7723	1.6349	0.8635	0.4915
15	1.2111	1.1081	0.8956	0.6625
20	0.8920	0.8177	0.9197	0.7553
25	0.6889	0.6378	0.9337	0.8032
30	0.5470	0.5184	0.9438	0.8313
35	0.4483	0.4262	0.9558	0.8502
40	0.3736	0.3652	0.9659	0.8669
45	0.3115	0.3164	0.9679	0.8864
50	0.2668	0.2759	0.9759	0.9022
55	0.2265	0.2487	0.9759	0.9122
60	0.1949	0.2330	0.9719	0.9304
65	0.1708	0.2135	0.9779	0.9363
70	0.1489	0.1955	0.9779	0.9446
75	0.1322	0.1874	0.9799	0.9521
80	0.1162	0.1750	0.9779	0.9548
85	0.1059	0.1692	0.9799	0.9581
90	0.0947	0.1574	0.9779	0.9596
95	0.0843	0.1587	0.9759	0.9623
100	0.0763	0.1517	0.9779	0.9620
105	0.0678	0.1464	0.9779	0.9641
110	0.0626	0.1384	0.9799	0.9659
115	0.0566	0.1378	0.9779	0.9656
120	0.0518	0.1344	0.9779	0.9685
125	0.0477	0.1375	0.9799	0.9694
130	0.0432	0.1345	0.9779	0.9706
135	0.0388	0.1287	0.9779	0.9709
140	0.0380	0.1286	0.9819	0.9706
145	0.0339	0.1269	0.9799	0.9730
150	0.0313	0.1302	0.9819	0.9724
155	0.0297	0.1320	0.9799	0.9739
160	0.0265	0.1358	0.9819	0.9751
165	0.0242	0.1325	0.9819	0.9760
170	0.0229	0.1246	0.9779	0.9765
175	0.0210	0.1287	0.9799	0.9765
180	0.0187	0.1264	0.9799	0.9765
185	0.0183	0.1312	0.9799	0.9759

# Final Evaluation Metrics
Final Intent Accuracy	0.9474
Final Slot F1	0.9373
Intent Precision	0.9453
Intent Recall	0.9474
Intent F1	0.9395
