# Training Configuration
Parameter	Value
name	LSTM_nodropout_bidir
hid_size	200
emb_size	300
lr	0.0001
clip	5
dropout	0
bidirectional	True

Epoch	Train Loss	Val Loss	Intent Accuracy	Slot F1
5	2.4778	2.4215	0.7590	0.1713
10	1.4623	1.4493	0.8835	0.5610
15	0.9129	0.9543	0.9237	0.7430
20	0.6078	0.6806	0.9398	0.8057
25	0.4281	0.5159	0.9558	0.8373
30	0.3138	0.4120	0.9639	0.8635
35	0.2360	0.3347	0.9699	0.8863
40	0.1808	0.2816	0.9739	0.9095
45	0.1408	0.2435	0.9759	0.9282
50	0.1112	0.2204	0.9759	0.9390
55	0.0888	0.1999	0.9759	0.9476
60	0.0717	0.1825	0.9779	0.9545
65	0.0586	0.1731	0.9779	0.9619
70	0.0483	0.1651	0.9799	0.9640
75	0.0399	0.1583	0.9779	0.9673
80	0.0331	0.1527	0.9799	0.9688
85	0.0276	0.1518	0.9799	0.9685
90	0.0231	0.1445	0.9799	0.9698
95	0.0194	0.1434	0.9799	0.9695
100	0.0163	0.1417	0.9799	0.9698
105	0.0138	0.1409	0.9799	0.9706
110	0.0117	0.1402	0.9799	0.9712
115	0.0100	0.1369	0.9799	0.9715
120	0.0085	0.1390	0.9799	0.9721
125	0.0073	0.1422	0.9799	0.9736
130	0.0063	0.1404	0.9779	0.9730
135	0.0055	0.1407	0.9799	0.9736
140	0.0048	0.1389	0.9759	0.9730

# Final Evaluation Metrics
Final Intent Accuracy	0.9429
Final Slot F1	0.9312
Intent Precision	0.9186
Intent Recall	0.9429
Intent F1	0.9278
