# Training Configuration
Parameter	Value
name	LSTM_nodropout_unidir
hid_size	200
emb_size	300
lr	0.0001
clip	5
dropout	0
bidirectional	False

Epoch	Train Loss	Val Loss	Intent Accuracy	Slot F1
5	3.3271	3.2878	0.7369	0.0047
10	2.5118	2.4846	0.7410	0.0202
15	1.8280	1.8442	0.8474	0.5186
20	1.3978	1.4503	0.8755	0.6156
25	1.1120	1.1761	0.8896	0.6719
30	0.9048	0.9897	0.9076	0.7231
35	0.7476	0.8405	0.9297	0.7634
40	0.6324	0.7263	0.9337	0.7973
45	0.5325	0.6394	0.9378	0.8180
50	0.4569	0.5735	0.9458	0.8380
55	0.3933	0.5188	0.9518	0.8492
60	0.3413	0.4647	0.9598	0.8620
65	0.2973	0.4303	0.9639	0.8699
70	0.2602	0.4002	0.9639	0.8779
75	0.2299	0.3711	0.9618	0.8845
80	0.2029	0.3500	0.9639	0.8893
85	0.1799	0.3319	0.9659	0.8970
90	0.1595	0.3156	0.9659	0.9080
95	0.1445	0.2959	0.9679	0.9171
100	0.1286	0.2836	0.9679	0.9264
105	0.1150	0.2737	0.9719	0.9361
110	0.1029	0.2643	0.9739	0.9452
115	0.0922	0.2559	0.9739	0.9464
120	0.0828	0.2489	0.9739	0.9491
125	0.0744	0.2413	0.9739	0.9500
130	0.0669	0.2364	0.9739	0.9527
135	0.0603	0.2308	0.9739	0.9536
140	0.0543	0.2259	0.9739	0.9545
145	0.0491	0.2233	0.9739	0.9557
150	0.0440	0.2202	0.9719	0.9580
155	0.0398	0.2159	0.9719	0.9592
160	0.0358	0.2122	0.9719	0.9598
165	0.0324	0.2098	0.9739	0.9592
170	0.0292	0.2085	0.9739	0.9613
175	0.0500	0.2327	0.9699	0.9540
180	0.0253	0.1865	0.9759	0.9631
185	0.0229	0.1876	0.9759	0.9625
190	0.0210	0.1869	0.9739	0.9628
195	0.0194	0.1865	0.9739	0.9628

# Final Evaluation Metrics
Final Intent Accuracy	0.9406
Final Slot F1	0.9172
Intent Precision	0.9180
Intent Recall	0.9406
Intent F1	0.9267
